text,emotion
yeah coupons found place randomly really like lot different chocolate flavours keep chocoholics coming back let taste test see might like dont worry picking something might like,neutral
still love feel gentle breeze hear peal soft wind chimes hang outside back door,happiness
normal fama devido ao programa de tv sobremesa foi melhor pratos individuais mas bem servidos,neutral
im feeling little less jaded,sadness
never shaken feeling ferocious protectiveness first became mother,hate
figure family loves us matter around anyone else feel embarrassed michelle goes ballistic,sadness
feel uncertain raise,worry
feeling relaxed quite comfortable faster pace planning running,fun
feel like ive lost everything everyone,sadness
feel way probably dumb try hardest cover reading lots lots books know becoming doctor,sadness
see starting feel emotional dependence parents stop breathe,sadness
get feel special student events arend seriously spoiled student events far,fun
dying matt feel sweet daughter,happiness
feel pathetic times,sadness
feel like real nut job freaked germs putting anything dangerous body,hate
stop talking keep start feel longing regret,happiness
want say feel vulnerable writing sharing info,worry
feeling passionate alive present,happiness
feel sympathetic towards plants xd href http,happiness
feeling fucked pretty warm night,hate
feel like beaten hard baseball bat arm doctor said apt description,sadness
feeling super productive beautiful flower girl perfect dress,fun
feel like inserting romantic quote kinda overflowing fluffy romantic stuff right know word right,happiness
feel ashamed oh romantic,sadness
omatcha black sesame latte attttt im gon na go ahead say flavours go well together since theyre pretty gritty bittersweet taste added sugar helps fuse together definitely tell distinction two cent difference came medium large went large staff friendly service timed pretty well seating area cramped asf unless sit actual table mention booth chairs ridiculously high may bit challenge short people getting seated coming back case c,neutral
arrived pm ordered personal pan pizza tomatoes mushrooms broccoli fresh oven w slight amount cheese slight amount sauce sure ask personalize need either plus merlot waiter either speed downers yet buddy arrived earlier get songs headand ether joined first karaoke experience sound system pretty crappy song selection country somewhat rock several genres otherwise crowd small group friends small group college students pairs drinkers bar pairs come go dimly lit comfy booths ordinary tableschairs pool table try clean bathrooms reminds places ive visited small highway towns driving cross country road tripn,neutral
feel safety change also important users must educated well process,fun
know best good cant help feel irritated,hate
think im feeling sentimental right p aaaaand tis another work day tomorrow,sadness
feel completely threatened always lingering fear dude going go glenn close,worry
feel cold stony surface underneath,hate
place far prettiest place id seen visiting vegas looks like damn paradise weather perfect nightclub pool offer sprt seating unless u pay literally oregon rhough bit stupid place beautiful,neutral
feel evenly energetic day,fun
feeling overwhelmed asked bqff keep house theyre ready loaded dont feel behind,surprise
feel like everyone start become slightly fearful,worry
cant beat atmosphere old cathedral food decent attitude staff hit miss generally pretty good building focal point anywhere else would need take service food couple notches came hour closing pm host happy see us waiter cool made,neutral
know feel horny front web cam,happiness
feel pretty convinced time worth would compensated fact work home coffee shops wifi like pretty wonderful,fun
used feel really sympathetic shizumasa chapter seem start disliking,happiness
great atmosphere drinks food ok nothing really special service fantastic friendly good place hangout get drinks dont expect much food,neutral
know love math feels weird teaching think change good good challenge,worry
im feeling pretty generous im going share little magic secret,happiness
already feel jealous new children apprehensive longer favorite,hate
